Software Version,2.00.18,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,
Date,14/08/2022,,,,,,,,,,,,
Time,21:41:31,,,,,,,,,,,,
Reader Type:,Synergy,,,,,,,,,,,,
Reader Serial Number:,232563,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,
,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,
,Wavelengths:  600,,,,,,,,,,,,
,Read Speed: Normal,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,27.2,,,,,,,,,,,,
,,,,,,,,,,,,,
Results,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.075,0.075,0.078,0.078,0.077,0.079,0.079,0.077,0.076,0.075,0.074,0.077,600
B,0.076,0.082,0.082,0.134,0.134,0.132,0.134,0.137,0.143,0.147,0.148,0.077,600
C,0.076,0.084,0.083,0.136,0.131,0.136,0.135,0.135,0.15,0.143,0.147,0.082,600
D,0.077,0.084,0.083,0.131,0.137,0.132,0.138,0.141,0.146,0.147,0.153,0.078,600
E,0.078,0.084,0.086,0.137,0.132,0.137,0.139,0.138,0.146,0.148,0.153,0.08,600
F,0.077,0.082,0.083,0.131,0.133,0.13,0.137,0.136,0.144,0.147,0.15,0.075,600
G,0.077,0.083,0.083,0.132,0.127,0.132,0.138,0.135,0.145,0.143,0.147,0.079,600
H,0.077,0.074,0.076,0.075,0.075,0.075,0.077,0.077,0.076,0.077,0.074,0.076,600
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Software Version,2.00.18,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Number,Plate 2,,,,,,,,,,,,
Date,14/08/2022,,,,,,,,,,,,
Time,21:43:19,,,,,,,,,,,,
Reader Type:,Synergy,,,,,,,,,,,,
Reader Serial Number:,232563,,,,,,,,,,,,
