,,,,,,,,,,,,,
,,,,,,,,,,,,,
Software Version,2.00.18,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,
Date,21/10/2022,,,,,,,,,,,,
Time,13:28:44,,,,,,,,,,,,
Reader Type:,Synergy,,,,,,,,,,,,
Reader Serial Number:,232563,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,
,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,
,Wavelengths:  600,,,,,,,,,,,,
,Read Speed: Normal,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,22.4,,,,,,,,,,,,
,,,,,,,,,,,,,
Results,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.084,0.08,0.083,0.085,0.08,0.083,0.081,0.08,0.08,0.078,0.077,0.081,600
B,0.084,0.084,0.08,0.257,0.147,0.609,0.15,0.48,0.15,0.075,0.071,0.079,600
C,0.082,0.081,0.081,0.264,0.153,0.592,0.141,0.48,0.15,0.075,0.074,0.084,600
D,0.083,0.082,0.08,0.265,0.151,0.584,0.152,0.481,0.157,0.079,0.079,0.081,600
E,0.083,0.083,0.083,0.266,0.155,0.544,0.151,0.48,0.156,0.083,0.083,0.084,600
F,0.087,0.081,0.081,0.272,0.152,0.559,0.158,0.496,0.155,0.085,0.082,0.087,600
G,0.083,0.082,0.084,0.278,0.152,0.539,0.155,0.506,0.157,0.086,0.083,0.083,600
H,0.082,0.081,0.084,0.083,0.082,0.082,0.084,0.083,0.081,0.084,0.082,0.084,600
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Software Version,2.00.18,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Number,Plate 2,,,,,,,,,,,,
Date,21/10/2022,,,,,,,,,,,,
Time,13:30:48,,,,,,,,,,,,
Reader Type:,Synergy,,,,,,,,,,,,
Reader Serial Number:,232563,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,
,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,
,Wavelengths:  600,,,,,,,,,,,,
,Read Speed: Normal,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,22.4,,,,,,,,,,,,
,,,,,,,,,,,,,
Results,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.076,0.066,0.076,0.084,0.083,0.084,0.084,0.084,0.085,0.083,0.084,0.088,600
B,0.079,0.083,0.086,0.231,0.143,0.537,0.14,0.358,0.139,0.083,0.084,0.082,600
