W02,20 mirco,,,,,,,,too much dilution 10^-5,
Hours,0,19,23,35,39,43,47,59,63,67
,11440,46300,,460800,754000,782000,668000,840000,1000000,1500000
,16480,46900,252800,436800,592000,410000,692000,530000,900000,600000
,19560,56500,348800,577600,764000,1004000,752000,720000,1100000,1000000
,,,,,,,,,,
,15826.6666666667,49900,300800,491733.333333333,703333.333333333,732000,704000,696666.666666667,,
,,,,,,,,,,
S18,0,19,23,35,39,43,47,59,,
,33600,14000,15600,14800,10800,,,,,
,42880,24400,24500,25600,19200,,,,,
,52480,31200,31800,27600,25100,,,,,
,,,,,,,,,,
,42986.6666666667,23200,23966.6666666667,22666.6666666667,22667.6666666667,,,,,
